,word,frequency,n_characters
के,के,998,2
में,में,825,3
है,है,533,2
की,की,509,2
और,और,438,2
से,से,398,2
को,को,371,2
का,का,319,2
ने,ने,255,2
एक,एक,229,2
कि,कि,211,2
पर,पर,200,2
हैं,हैं,193,3
था,था,190,2
किया,किया,165,4
लिए,लिए,146,3
गया,गया,144,3
करने,करने,126,4
नहीं,नहीं,124,4
यह,यह,104,2
कर,कर,99,2
जो,जो,99,2
इस,इस,97,2
रूप,रूप,93,3
साथ,साथ,86,3
तक,तक,86,2
बाद,बाद,82,3
भी,भी,80,2
हो,हो,77,2
थी,थी,72,2
वह,वह,70,2
लेकिन,लेकिन,69,5
अपने,अपने,68,4
दिया,दिया,67,4
थे,थे,62,2
कहा,कहा,61,3
वर्ष,वर्ष,59,4
उसने,उसने,57,4
हुए,हुए,56,3
उसके,उसके,55,4
गयी,गयी,52,3
ही,ही,52,2
कई,कई,52,2
लोगों,लोगों,52,5
द्वारा,द्वारा,49,6
वाले,वाले,48,4
ज्यादा,ज्यादा,48,6
समय,समय,47,3
पहले,पहले,46,4
गए,गए,44,2
क्षेत्र,क्षेत्र,42,7
जाता,जाता,42,4
उसे,उसे,42,3
अपनी,अपनी,42,4
होने,होने,41,4
कम,कम,41,2
या,या,40,2
बहुत,बहुत,38,4
सकता,सकता,38,4
करते,करते,37,4
तरह,तरह,37,3
तो,तो,36,2
दो,दो,36,2
शुरू,शुरू,36,4
हुआ,हुआ,35,3
बीच,बीच,34,3
काम,काम,33,3
कारण,कारण,33,4
इसके,इसके,33,4
रहा,रहा,33,3
उसकी,उसकी,32,4
जब,जब,32,2
लिया,लिया,32,4
सबसे,सबसे,31,4
लगभग,लगभग,30,4
बारे,बारे,30,4
वे,वे,28,2
हुई,हुई,28,3
दी,दी,28,2
साल,साल,28,3
रहे,रहे,28,3
होता,होता,28,4
कुछ,कुछ,28,3
जाने,जाने,28,4
उसका,उसका,27,4
करता,करता,26,4
उस,उस,26,2
जा,जा,26,2
केवल,केवल,25,4
युद्ध,युद्ध,25,5
बार,बार,25,3
करना,करना,24,4
प्रति,प्रति,24,5
शामिल,शामिल,24,5
नये,नये,23,3
तौर,तौर,23,3
कोई,कोई,22,3
फिर,फिर,22,3
प्राप्त,प्राप्त,22,7
इसका,इसका,22,4
वहां,वहां,22,4
मैं,मैं,22,3
जिसमें,जिसमें,22,6
किए,किए,22,3
व्यक्ति,व्यक्ति,22,7
उपयोग,उपयोग,21,5
पूर्व,पूर्व,21,5
दिन,दिन,21,3
जैसे,जैसे,21,4
अमेरिका,अमेरिका,21,7
शहर,शहर,21,3
होती,होती,21,4
किसी,किसी,21,4
उन्हें,उन्हें,20,6
उन्होंने,उन्होंने,20,8
दोनों,दोनों,20,5
पास,पास,20,3
राज्य,राज्य,20,5
दक्षिण,दक्षिण,20,6
दौरान,दौरान,20,5
स्थापित,स्थापित,19,7
लोग,लोग,19,3
अन्य,अन्य,19,4
वाली,वाली,19,4
इसे,इसे,19,3
अमेरिकी,अमेरिकी,19,7
जहां,जहां,19,4
क्योंकि,क्योंकि,19,7
हालांकि,हालांकि,18,7
बताया,बताया,18,5
संबंधी,संबंधी,18,6
तरीके,तरीके,18,5
दशक,दशक,18,3
ये,ये,18,2
उनके,उनके,18,4
होगा,होगा,18,4
अभी,अभी,18,3
सकते,सकते,18,4
सरकार,सरकार,17,5
नाम,नाम,17,3
बात,बात,17,3
दुनिया,दुनिया,17,6
रही,रही,17,3
उनकी,उनकी,16,4
वाला,वाला,16,4
यदि,यदि,16,3
इन,इन,16,2
सभी,सभी,16,3
रहने,रहने,16,4
चीन,चीन,16,3
हर,हर,16,2
पूरी,पूरी,16,4
अलग,अलग,16,3
अनुसार,अनुसार,16,6
तीन,तीन,16,3
होते,होते,16,4
सकती,सकती,15,4
क्या,क्या,15,4
हम,हम,15,2
सागर,सागर,15,4
वर्षों,वर्षों,15,6
स्थित,स्थित,15,5
शताब्दी,शताब्दी,15,7
स्थान,स्थान,15,5
मैंने,मैंने,14,5
महत्वपूर्ण,महत्वपूर्ण,14,10
फिल्म,फिल्म,14,5
विशेष,विशेष,14,5
इसमें,इसमें,14,5
थीं,थीं,14,3
देने,देने,14,4
खिलाफ,खिलाफ,14,5
संभावना,संभावना,14,7
बन,बन,14,2
सेना,सेना,14,4
कभी,कभी,14,3
प्रयास,प्रयास,14,6
वृद्धि,वृद्धि,13,6
ओर,ओर,13,2
लगता,लगता,13,4
विकास,विकास,13,5
मामले,मामले,13,5
उत्तर,उत्तर,13,5
चुनाव,चुनाव,13,5
उन,उन,13,2
ईसा,ईसा,13,3
इतिहास,इतिहास,13,6
जबकि,जबकि,13,4
ब्रिटेन,ब्रिटेन,13,7
अब,अब,13,2
व्यापार,व्यापार,13,7
पहली,पहली,13,4
हूं,हूं,12,3
भारी,भारी,12,4
पुलिस,पुलिस,12,5
संख्या,संख्या,12,6
मिला,मिला,12,4
बनाने,बनाने,12,5
उत्तरी,उत्तरी,12,6
करती,करती,12,4
अक्टूबर,अक्टूबर,12,7
जारी,जारी,12,4
पैदा,पैदा,12,4
बना,बना,12,3
हिस्से,हिस्से,12,6
युग,युग,12,3
जिसे,जिसे,12,4
अपना,अपना,12,4
दिए,दिए,12,3
स्थिति,स्थिति,12,6
द्वीप,द्वीप,12,5
यात्रा,यात्रा,11,6
पानी,पानी,11,4
प्रदर्शन,प्रदर्शन,11,8
सप्ताह,सप्ताह,11,6
कब्जा,कब्जा,11,5
पता,पता,11,3
मतदान,मतदान,11,5
जीवन,जीवन,11,4
प्रमुख,प्रमुख,11,6
प्रभाव,प्रभाव,11,6
सीमा,सीमा,11,4
द,द,11,1
ट्रम्प,ट्रम्प,11,6
बाहर,बाहर,11,4
राष्ट्रीय,राष्ट्रीय,11,9
यूरोपीय,यूरोपीय,11,7
ब्रिटिश,ब्रिटिश,11,7
इसलिए,इसलिए,11,5
आया,आया,11,3
फैसला,फैसला,11,5
निर्माण,निर्माण,11,7
मिलियन,मिलियन,11,6
हमारे,हमारे,11,5
जिसका,जिसका,11,5
मुख्य,मुख्य,11,5
शुरुआत,शुरुआत,11,6
ज्यादातर,ज्यादातर,11,8
कानून,कानून,11,5
स्पष्ट,स्पष्ट,11,6
रखने,रखने,11,4
राजनीतिक,राजनीतिक,11,8
जांच,जांच,11,4
भूमध्य,भूमध्य,11,6
देशों,देशों,10,5
सम्राट,सम्राट,10,6
देखा,देखा,10,4
भूमि,भूमि,10,4
देश,देश,10,3
वापस,वापस,10,4
जाएगा,जाएगा,10,5
चाहिए,चाहिए,10,5
चार,चार,10,3
भूमिका,भूमिका,10,6
देता,देता,10,4
पार्टी,पार्टी,10,6
जाना,जाना,10,4
महिला,महिला,10,5
अनुमति,अनुमति,10,6
खत्म,खत्म,10,4
इस्तेमाल,इस्तेमाल,10,8
दिनों,दिनों,10,5
प्रथम,प्रथम,10,5
कंपनी,कंपनी,10,5
एवं,एवं,10,3
ले,ले,10,2
जिनमें,जिनमें,10,6
लगा,लगा,10,3
प्रतिनिधित्व,प्रतिनिधित्व,10,12
स्कूल,स्कूल,10,5
लड़ाई,लड़ाई,10,5
अधिक,अधिक,10,4
जैसेकि,जैसेकि,10,6
माना,माना,10,4
लागू,लागू,10,4
हिस्सा,हिस्सा,10,6
मदद,मदद,10,3
अध्ययन,अध्ययन,10,6
राष्ट्रपति,राष्ट्रपति,10,10
नदी,नदी,10,3
पुरुष,पुरुष,9,5
देते,देते,9,4
जिसके,जिसके,9,5
होगी,होगी,9,4
स्तर,स्तर,9,4
सक्षम,सक्षम,9,5
स्वतंत्र,स्वतंत्र,9,8
घोषणा,घोषणा,9,5
लगातार,लगातार,9,6
पूरा,पूरा,9,4
उनमें,उनमें,9,5
हवा,हवा,9,3
साम्राज्य,साम्राज्य,9,9
हमें,हमें,9,4
नजर,नजर,9,3
आगे,आगे,9,3
पिछले,पिछले,9,5
संबंध,संबंध,9,5
समर्थन,समर्थन,9,6
प्रदान,प्रदान,9,6
पहुंच,पहुंच,9,5
विकसित,विकसित,9,6
अच्छी,अच्छी,9,5
फ्रांस,फ्रांस,9,6
सुरक्षा,सुरक्षा,9,7
जरूरत,जरूरत,9,5
समुद्र,समुद्र,9,6
पड़ा,पड़ा,9,4
उसी,उसी,9,3
पूर्वी,पूर्वी,9,6
बाजार,बाजार,9,5
आर्थिक,आर्थिक,8,6
जिसने,जिसने,8,5
जैसी,जैसी,8,4
बताते,बताते,8,5
आधुनिक,आधुनिक,8,6
व्यवस्था,व्यवस्था,8,8
कमी,कमी,8,3
यूरोप,यूरोप,8,5
जबर्दस्त,जबर्दस्त,8,8
तैयार,तैयार,8,5
इसकी,इसकी,8,4
यहां,यहां,8,4
लौट,लौट,8,3
दक्षिणी,दक्षिणी,8,7
अंतिम,अंतिम,8,5
आस,आस,8,2
ध्यान,ध्यान,8,5
योजना,योजना,8,5
गई,गई,8,2
डेटा,डेटा,8,4
दे,दे,8,2
जिसकी,जिसकी,8,5
अभियान,अभियान,8,6
विमान,विमान,8,5
इसने,इसने,8,4
पीछे,पीछे,8,4
जर्मन,जर्मन,8,5
संधि,संधि,8,4
गीत,गीत,8,3
खुद,खुद,8,3
उम्मीद,उम्मीद,8,6
ली,ली,8,2
आवश्यक,आवश्यक,8,6
मध्य,मध्य,8,4
नीचे,नीचे,8,4
आती,आती,8,3
अप्रेल,अप्रेल,8,6
पार,पार,8,3
शायद,शायद,8,4
आज,आज,8,2
आप,आप,8,2
रोक,रोक,8,3
निवेश,निवेश,8,5
निजी,निजी,8,4
विभिन्न,विभिन्न,8,7
नया,नया,8,3
औसत,औसत,8,3
दूसरे,दूसरे,8,5
प्रतिशत,प्रतिशत,7,7
कराया,कराया,7,5
निकट,निकट,7,4
जलवायु,जलवायु,7,6
दूसरी,दूसरी,7,5
शासन,शासन,7,4
जीत,जीत,7,3
अत्यधिक,अत्यधिक,7,7
कुल,कुल,7,3
प्राकृतिक,प्राकृतिक,7,9
अक्सर,अक्सर,7,5
पूरे,पूरे,7,4
जनवरी,जनवरी,7,5
प्रत्येक,प्रत्येक,7,8
क्रान्ति,क्रान्ति,7,8
महीने,महीने,7,5
कहना,कहना,7,4
मिस्र,मिस्र,7,5
अधिकतर,अधिकतर,7,6
रूस,रूस,7,3
शो,शो,7,2
अन्तिम,अन्तिम,7,6
करके,करके,7,4
हांगकांग,हांगकांग,7,8
लेकर,लेकर,7,4
उससे,उससे,7,4
सरकारी,सरकारी,7,6
इटली,इटली,7,4
सही,सही,7,3
उपकरण,उपकरण,7,5
सहायता,सहायता,7,6
आरोप,आरोप,7,4
जाते,जाते,7,4
डि,डि,7,2
क्यों,क्यों,7,5
हाल,हाल,7,3
कलाकार,कलाकार,7,6
प्रणाली,प्रणाली,7,7
थोड़ा,थोड़ा,7,5
पुराने,पुराने,7,6
पोस्ट,पोस्ट,7,5
देगा,देगा,7,4
सुधार,सुधार,7,5
संघर्ष,संघर्ष,7,6
चला,चला,7,3
पत्नी,पत्नी,7,5
जनता,जनता,7,4
बड़ा,बड़ा,7,4
गणराज्य,गणराज्य,7,7
जन्म,जन्म,7,4
अवधि,अवधि,7,4
लगाने,लगाने,7,5
सुरक्षित,सुरक्षित,7,8
आम,आम,7,2
पश्चिम,पश्चिम,7,6
जीवित,जीवित,6,5
कहते,कहते,6,4
जिससे,जिससे,6,5
जिन्हें,जिन्हें,6,7
करें,करें,6,4
बिना,बिना,6,4
रक्षा,रक्षा,6,5
छह,छह,6,2
जाए,जाए,6,3
नयी,नयी,6,3
चीनी,चीनी,6,4
तेजी,तेजी,6,4
पेरिस,पेरिस,6,5
रखा,रखा,6,3
भाषा,भाषा,6,4
महासागर,महासागर,6,7
सेंट,सेंट,6,4
उनका,उनका,6,4
उच्च,उच्च,6,4
छोटे,छोटे,6,4
जून,जून,6,3
पृथ्वी,पृथ्वी,6,6
वोट,वोट,6,3
लौटने,लौटने,6,5
सामग्री,सामग्री,6,7
अन्तरराष्ट्रीय,अन्तरराष्ट्रीय,6,14
संगीत,संगीत,6,5
बच्चों,बच्चों,6,6
आधारित,आधारित,6,6
क्लिंटन,क्लिंटन,6,7
रिकॉर्ड,रिकॉर्ड,6,7
अफ्रीका,अफ्रीका,6,7
पद,पद,6,2
एकत्र,एकत्र,6,5
खेल,खेल,6,3
दिखाई,दिखाई,6,5
कानूनी,कानूनी,6,6
अधिकारियों,अधिकारियों,6,10
स्थानीय,स्थानीय,6,7
लम्बे,लम्बे,6,5
लेने,लेने,6,4
अल्बानिया,अल्बानिया,6,9
नेतृत्व,नेतृत्व,6,7
परिवर्तन,परिवर्तन,6,8
यूरो,यूरो,6,4
विषय,विषय,6,4
सुविधा,सुविधा,6,6
महज,महज,6,3
उल्लेखनीय,उल्लेखनीय,6,9
वजह,वजह,6,3
देखना,देखना,6,5
स्थल,स्थल,6,4
व्यवहार,व्यवहार,6,7
अनुमान,अनुमान,6,6
दस,दस,6,2
विकल्प,विकल्प,6,6
यूनान,यूनान,6,5
इससे,इससे,6,4
आस्ट्रेलिया,आस्ट्रेलिया,6,11
ए,ए,6,1
करेंगे,करेंगे,6,6
कार्यक्रम,कार्यक्रम,6,9
बजाय,बजाय,6,4
मान्यता,मान्यता,6,7
मिल,मिल,6,3
संपर्क,संपर्क,6,6
रंग,रंग,6,3
मूल,मूल,6,3
मिलकर,मिलकर,6,5
संदर्भ,संदर्भ,6,6
बगैर,बगैर,6,4
एल्बम,एल्बम,6,5
टीम,टीम,6,3
करेगा,करेगा,6,5
संयुक्त,संयुक्त,6,7
अस्पष्ट,अस्पष्ट,6,7
शीर्ष,शीर्ष,6,5
बड़ी,बड़ी,6,4
बच्चे,बच्चे,6,5
पक्ष,पक्ष,6,4
मात्रा,मात्रा,6,6
घोषित,घोषित,6,5
आने,आने,6,3
जिन्होंने,जिन्होंने,6,9
अनुबंध,अनुबंध,6,6
स्पेनिश,स्पेनिश,6,7
तीसरे,तीसरे,6,5
शहरों,शहरों,5,5
अगस्त,अगस्त,5,5
संदिग्ध,संदिग्ध,5,7
बैंक,बैंक,5,4
राजवंश,राजवंश,5,6
हमला,हमला,5,4
रोना,रोना,5,4
पहला,पहला,5,4
खर्च,खर्च,5,4
पुरानी,पुरानी,5,6
दोस्त,दोस्त,5,5
भेजा,भेजा,5,4
प्रयोग,प्रयोग,5,6
घटना,घटना,5,4
चुके,चुके,5,4
क्विंग,क्विंग,5,6
पतन,पतन,5,3
जगह,जगह,5,3
संस्करण,संस्करण,5,7
मैक्सिको,मैक्सिको,5,8
तट,तट,5,2
मंगोलिया,मंगोलिया,5,8
मेरे,मेरे,5,4
स्पेन,स्पेन,5,5
सन,सन,5,2
कार्य,कार्य,5,5
पत्र,पत्र,5,4
तत्व,तत्व,5,4
आखिरकार,आखिरकार,5,7
सर्वाधिक,सर्वाधिक,5,8
सामाजिक,सामाजिक,5,7
इलाके,इलाके,5,5
प्रदर्शित,प्रदर्शित,5,9
तिथि,तिथि,5,4
केन्द्रित,केन्द्रित,5,9
कार,कार,5,3
पैटर्न,पैटर्न,5,6
सितम्बर,सितम्बर,5,7
ट्यूमर,ट्यूमर,5,6
मांग,मांग,5,4
इंटरनेट,इंटरनेट,5,7
जुलाई,जुलाई,5,5
धार्मिक,धार्मिक,5,7
सार्वजनिक,सार्वजनिक,5,9
सीमित,सीमित,5,5
सांसदों,सांसदों,5,7
अधिकारी,अधिकारी,5,7
चर्चा,चर्चा,5,5
मौजूद,मौजूद,5,5
दर,दर,5,2
डोनाल्ड,डोनाल्ड,5,7
फिल्मों,फिल्मों,5,7
दूर,दूर,5,3
जाती,जाती,5,4
सर्दी,सर्दी,5,5
मौसम,मौसम,5,4
निवास,निवास,5,5
आई,आई,5,2
चीज,चीज,5,3
तुरंत,तुरंत,5,5
सामना,सामना,5,5
बहस,बहस,5,3
पहचान,पहचान,5,5
डिज्नी,डिज्नी,5,6
सुबह,सुबह,5,4
बदलाव,बदलाव,5,5
खोल,खोल,5,3
आय,आय,5,2
आकार,आकार,5,4
सेट,सेट,5,3
लगाया,लगाया,5,5
नवम्बर,नवम्बर,5,6
यही,यही,5,3
आबादी,आबादी,5,5
बिलियन,बिलियन,5,6
मतलब,मतलब,5,4
संघीय,संघीय,5,5
आपको,आपको,5,4
भर,भर,5,2
आवाज,आवाज,5,4
रिपोर्ट,रिपोर्ट,5,7
देती,देती,5,4
अतिरिक्त,अतिरिक्त,5,8
स्वतंत्रता,स्वतंत्रता,5,10
तहत,तहत,5,3
ला,ला,5,2
हत्या,हत्या,5,5
उम्र,उम्र,5,4
राष्ट्र,राष्ट्र,5,7
कैसे,कैसे,5,4
साहित्य,साहित्य,5,7
सहायक,सहायक,5,5
अलावा,अलावा,5,5
कैरेबियाई,कैरेबियाई,5,9
रोम,रोम,5,3
हमेशा,हमेशा,5,5
शिक्षा,शिक्षा,5,6
जानकारी,जानकारी,5,7
आलोचना,आलोचना,5,6
एशिया,एशिया,5,5
प्रत्यक्ष,प्रत्यक्ष,5,9
लिखा,लिखा,5,4
निचले,निचले,5,5
कंपनियों,कंपनियों,5,8
निर्भर,निर्भर,5,6
भुगतान,भुगतान,5,6
महान,महान,5,4
छोड़,छोड़,5,4
स्वीकार,स्वीकार,5,7
निवेशकों,निवेशकों,5,8
पांच,पांच,5,4
पाया,पाया,5,4
राजा,राजा,5,4
बनाया,बनाया,5,5
सैन्य,सैन्य,5,5
गर्मी,गर्मी,4,5
मुक्त,मुक्त,4,5
जनसंख्या,जनसंख्या,4,8
मंत्री,मंत्री,4,6
जवाब,जवाब,4,4
विंस्टन,विंस्टन,4,7
दिवालिया,दिवालिया,4,8
मिले,मिले,4,4
बावजूद,बावजूद,4,6
उपलब्ध,उपलब्ध,4,6
लड़की,लड़की,4,5
सामने,सामने,4,5
धोखाधड़ी,धोखाधड़ी,4,8
वक्त,वक्त,4,4
सीनेट,सीनेट,4,5
तुर्की,तुर्की,4,6
तेज,तेज,4,3
सिद्धान्त,सिद्धान्त,4,9
सीमाओं,सीमाओं,4,6
विरोध,विरोध,4,5
मेल,मेल,4,3
अफीम,अफीम,4,4
दूसरा,दूसरा,4,5
सक्रिय,सक्रिय,4,6
वास्तविक,वास्तविक,4,8
उदाहरण,उदाहरण,4,6
इतना,इतना,4,4
संक्रमण,संक्रमण,4,7
पद्धति,पद्धति,4,6
विश्व,विश्व,4,5
विस्तार,विस्तार,4,7
शक्तियों,शक्तियों,4,8
विभाग,विभाग,4,5
संभव,संभव,4,4
रुख,रुख,4,3
निभाई,निभाई,4,5
लंदन,लंदन,4,4
प्रकाशित,प्रकाशित,4,8
स्वस्थ,स्वस्थ,4,6
वनस्पति,वनस्पति,4,7
खान,खान,4,3
सटीक,सटीक,4,4
अच्छे,अच्छे,4,5
पहने,पहने,4,4
ग्रेट,ग्रेट,4,5
सत्ता,सत्ता,4,5
पसंद,पसंद,4,4
सके,सके,4,3
मॉडल,मॉडल,4,4
चलता,चलता,4,4
सरल,सरल,4,3
सुश्री,सुश्री,4,6
चुकी,चुकी,4,4
न,न,4,1
उद्योग,उद्योग,4,6
अन्तर,अन्तर,4,5
खुले,खुले,4,4
फराओ,फराओ,4,4
अनुभव,अनुभव,4,5
हाथ,हाथ,4,3
स्वास्थ्य,स्वास्थ्य,4,9
आता,आता,4,3
जानता,जानता,4,5
दबाव,दबाव,4,4
संघ,संघ,4,3
छोड़ने,छोड़ने,4,6
खोज,खोज,4,3
दिसम्बर,दिसम्बर,4,7
वर्षीय,वर्षीय,4,6
खड़े,खड़े,4,4
रिपब्लिकन,रिपब्लिकन,4,9
सम्मेलन,सम्मेलन,4,7
कहां,कहां,4,4
पोलोनियम,पोलोनियम,4,8
धारा,धारा,4,4
पार्क,पार्क,4,5
अभिनय,अभिनय,4,5
कला,कला,4,3
घर,घर,4,2
साक्षात्कार,साक्षात्कार,4,11
वीडियो,वीडियो,4,6
दर्ज,दर्ज,4,4
प्रकार,प्रकार,4,6
व्यक्त,व्यक्त,4,6
योग्य,योग्य,4,5
बल,बल,4,2
इनकार,इनकार,4,5
विश्वविद्यालय,विश्वविद्यालय,4,13
होंगे,होंगे,4,5
विचारों,विचारों,4,7
महाद्वीप,महाद्वीप,4,8
ओंटेरियो,ओंटेरियो,4,8
गाने,गाने,4,4
होना,होना,4,4
भाई,भाई,4,3
एस्टेट,एस्टेट,4,6
रियल,रियल,4,4
विनाश,विनाश,4,5
रह,रह,4,2
लॉर्ड,लॉर्ड,4,5
पड़,पड़,4,3
अच्छा,अच्छा,4,5
तस्वीरों,तस्वीरों,4,8
जर्मनी,जर्मनी,4,6
अविश्वसनीय,अविश्वसनीय,4,10
खिलाड़ी,खिलाड़ी,4,7
बड़े,बड़े,4,4
मीडिया,मीडिया,4,6
सात,सात,4,3
जीतने,जीतने,4,5
बीजिंग,बीजिंग,4,6
मारे,मारे,4,4
खाते,खाते,4,4
एजेंट,एजेंट,4,5
न्यू,न्यू,4,4
निशाना,निशाना,4,6
लाइन,लाइन,4,4
अफ्रीकी,अफ्रीकी,4,7
जहाज,जहाज,4,4
अधिकार,अधिकार,4,6
सेनाओं,सेनाओं,4,6
निगरानी,निगरानी,4,7
जोसफ,जोसफ,4,4
रहती,रहती,4,4
सफलता,सफलता,4,5
जिसपर,जिसपर,4,5
दर्शकों,दर्शकों,4,7
हद,हद,4,2
पैसे,पैसे,4,4
निर्देशक,निर्देशक,4,8
चर्च,चर्च,4,4
प्रेरित,प्रेरित,4,7
डेनिश,डेनिश,4,5
काफी,काफी,4,4
बीबीसी,बीबीसी,4,6
युवा,युवा,4,4
नियंत्रण,नियंत्रण,4,8
कौन,कौन,4,3
लाभ,लाभ,4,3
समीक्षा,समीक्षा,4,7
क्षेत्रों,क्षेत्रों,4,9
रोमन,रोमन,4,4
इलाकों,इलाकों,4,6
विश्लेषण,विश्लेषण,4,8
समूह,समूह,4,4
आग्रह,आग्रह,4,5
लागत,लागत,4,4
सहित,सहित,4,4
सीगल,सीगल,4,4
एजेंसी,एजेंसी,4,6
स्मार्टफोन,स्मार्टफोन,4,10
जमीन,जमीन,4,4
ओलम्पिक,ओलम्पिक,4,7
धर्म,धर्म,4,4
हासिल,हासिल,4,5
अर्थव्यवस्था,अर्थव्यवस्था,4,12
पूर्ण,पूर्ण,4,5
होकर,होकर,4,4
तकनीक,तकनीक,4,5
यूनियन,यूनियन,4,6
बाध्य,बाध्य,4,5
पुरस्कार,पुरस्कार,4,8
खेलों,खेलों,4,5
बने,बने,4,3
प्राचीन,प्राचीन,4,7
नंबर,नंबर,4,4
सफल,सफल,4,3
अवस्था,अवस्था,4,6
शुल्क,शुल्क,4,5
जाएगी,जाएगी,4,5
विद्रोह,विद्रोह,4,7
परिणामस्वरूप,परिणामस्वरूप,4,12
परम्परा,परम्परा,4,7
हिस्सों,हिस्सों,4,7
नाटक,नाटक,4,4
ब्रांड,ब्रांड,4,6
बनाए,बनाए,4,4
विचार,विचार,4,5
समाधान,समाधान,4,6
कैमरून,कैमरून,4,6
उचित,उचित,4,4
शान्ति,शान्ति,4,6
मकदूनिया,मकदूनिया,4,8
आसान,आसान,4,4
फ्रांसीसी,फ्रांसीसी,4,9
सैनिक,सैनिक,4,5
मानना,मानना,4,5
प्रवक्ता,प्रवक्ता,4,8
ईस्वी,ईस्वी,4,5
गर्मियों,गर्मियों,4,8
बेटी,बेटी,4,4
डेनेविर्के,डेनेविर्के,4,10
जबर्द्स्त,जबर्द्स्त,4,9
वित्तीय,वित्तीय,4,7
एकेमेनिड,एकेमेनिड,4,8
कैरियर,कैरियर,4,6
समुद्री,समुद्री,4,7
शब्द,शब्द,4,4
परिवार,परिवार,4,6
बेहतर,बेहतर,4,5
नागरिक,नागरिक,4,6
प्रसार,प्रसार,3,6
संकट,संकट,3,4
राजाओं,राजाओं,3,6
निर्माता,निर्माता,3,8
परेड,परेड,3,4
कण,कण,3,2
प्रतिद्वंद्वी,प्रतिद्वंद्वी,3,13
शक्तिशाली,शक्तिशाली,3,9
इमारत,इमारत,3,5
तथा,तथा,3,3
सूची,सूची,3,4
लेता,लेता,3,4
सामान्य,सामान्य,3,7
अल,अल,3,2
चिंतित,चिंतित,3,6
रखना,रखना,3,4
समस्या,समस्या,3,6
गोल्फ,गोल्फ,3,5
चिंता,चिंता,3,5
एंडीज,एंडीज,3,5
मे,मे,3,2
बोड,बोड,3,3
मेयर,मेयर,3,4
चन्द्रमा,चन्द्रमा,3,8
क्यूरी,क्यूरी,3,6
पूंजी,पूंजी,3,5
आयरन,आयरन,3,4
खारिज,खारिज,3,5
मृत,मृत,3,3
विद्वानों,विद्वानों,3,9
परिषद,परिषद,3,5
बिताए,बिताए,3,5
आतंक,आतंक,3,4
देर,देर,3,3
कार्यस्थल,कार्यस्थल,3,9
सदस्यों,सदस्यों,3,7
एंटोनियो,एंटोनियो,3,8
संस्थान,संस्थान,3,7
तूफान,तूफान,3,5
बनाकर,बनाकर,3,5
अंटार्कटिक,अंटार्कटिक,3,10
घटनाक्रम,घटनाक्रम,3,8
पारम्परिक,पारम्परिक,3,9
जिम्मेदार,जिम्मेदार,3,9
आते,आते,3,3
आस्ट्रेलियाई,आस्ट्रेलियाई,3,12
जॉन,जॉन,3,3
खेद,खेद,3,3
पाना,पाना,3,4
